"","country","year","party","vote","seat","electionyear","epvote","fav_intEU","fav_ep_power","lrgen","lr_econ","lr_econ_slc","postmat_trad","postmat_trad_slc","spend_or_taxes","spend_or_taxes_slc","dereg_mkt","dereg_mkt_slc","stateinterv","laworder","laworder.1","laworder_slc","oppos_libpol","oppos_libpol_slc","religious","religion_slc","reject_immig","immigra_salience","assimil","assimil_slc","envnotimp","env_slc","cosmop_nation","cosmop_nation_slc","nation","mip_one","mip_two","mip_three"
"87","dk",2006,"JuniB",NA,NA,2005,9.10000038146973,0.0366666666666667,0.188333333333333,0.317,0.283,NA,0.475,NA,0.35,0.3,0.375,0.25,NA,0.325,0.325,0.225,0.4,0.275,0.3,0.275,0.4,0.275,0.375,NA,NA,NA,0.625,0.775,NA,"","",""
"88","dk",2006,"FolkB",NA,NA,2005,5.19999980926514,0.0183333333333334,0.271666666666667,0.267,0.267,NA,0.475,NA,0.35,0.3,0.375,0.25,NA,0.325,0.325,0.225,0.4,0.275,0.3,0.275,0.4,0.275,0.375,NA,NA,NA,0.65,0.725,NA,"","",""
"89","dk",2010,"SD",25.5,25.1000003814697,2007,21.4899997711182,0.818181832631429,0.777777751286825,0.418181800842285,0.381818199157715,NA,NA,NA,0.3,0.781818199157715,0.45,0.466666650772095,NA,0.55,0.55,0.540000009536743,0.379999995231628,0.411111116409302,0.3125,0.309999990463257,0.636363649368286,0.581818199157715,0.6181818,0.63636365,0.43636365,0.4818182,NA,NA,NA,"","",""
"90","dk",2010,"RV",5.1,5,2007,4.26999998092651,0.969696998596191,0.85185186068217,0.518181800842285,0.636363649368286,NA,0.15,NA,0.618181800842285,0.736363649368286,0.663636350631714,0.5,NA,0.25,0.25,0.75,0.189999997615814,0.7,0.15,0.233333325386047,0.218181824684143,0.818181800842285,0.2090909,0.8272727,0.3,0.65999999,NA,NA,NA,"","",""
"91","dk",2010,"KF",10.4,10.1000003814697,2007,12.6899995803833,0.818181832631429,0.759259223937988,0.754545497894287,0.781818199157715,NA,0.669999980926514,NA,0.809090900421143,0.83636360168457,0.75,0.522222232818604,NA,0.830000019073486,0.830000019073486,0.730000019073486,0.6,0.5,0.425,0.459999990463257,0.772727251052856,0.672727251052856,0.74545455,0.67272725,0.6818182,0.45,NA,NA,NA,"","",""
"92","dk",2010,"SF",13,12.8000001907349,2007,15.8699998855591,0.590909083684286,0.729166666666667,0.281818175315857,0.227272725105286,NA,0.240000009536743,NA,0.2,0.763636350631714,0.290909099578857,0.477777767181396,NA,0.309999990463257,0.309999990463257,0.640000009536743,0.209999990463257,0.609999990463257,0.1625,0.277777767181396,0.372727274894714,0.681818199157715,0.3090909,0.7181818,0.21818182,0.74545455,NA,NA,NA,"","",""
"93","dk",2010,"V",26.2,25.7000007629394,2007,20.2399997711182,0.848484834035238,0.740740776062012,0.7,0.709090900421143,NA,0.590000009536743,NA,0.636363649368286,0.736363649368286,0.690000009536743,0.511111116409302,NA,0.740000009536743,0.740000009536743,0.609999990463257,0.390000009536743,0.466666650772095,0.2875,0.329999995231628,0.772727251052856,0.690909099578857,0.7,0.7,0.66363635,0.3909091,NA,NA,NA,"","",""
"94","dk",2010,"EL",2.2,2.20000004768372,2007,NA,0.121212124824524,0.354166666666667,0.1,0.0818181872367859,NA,0.170000004768372,NA,0.0727272748947144,0.727272748947144,0.136363637447357,0.519999980926514,NA,0.160000002384186,0.160000002384186,0.7,0.179999995231628,0.659999990463257,0.144444441795349,0.2,0.127272725105286,0.772727251052856,0.14545455,0.75454545,0.090909094,0.8363636,NA,NA,NA,"","",""
"95","dk",2010,"DF",13.9,14,2007,15.2799997329712,0.227272709210714,0.333333333333333,0.781818199157715,0.545454549789429,NA,0.939999961853027,NA,0.509090900421143,0.572727251052856,0.533333349227905,0.377777767181396,NA,0.939999961853027,0.939999961853027,0.85,0.666666650772095,0.6,0.4375,0.609999990463257,0.96363639831543,0.96363639831543,0.9545455,0.9363636,0.73636365,0.31818182,NA,NA,NA,"","",""
"96","dk",2010,"FolkB",NA,NA,2007,7.19999980926514,0.0555555621782938,0.333333333333333,0.266666674613953,0.325,NA,0.466666650772095,NA,0.4,0.225,0.266666674613953,0.25,NA,0.4,0.4,0.3,0.2,0.2,0.3,0.0666666686534882,0.4,0.25,0.5,0.25,0.4,0.3,NA,NA,NA,"","",""
